index,bin,src_image,orig_w,orig_h,brightness,scale,pad_l,pad_t
0,images_0000.bin,0002.jpg,640,384,13.82,1.2,0,57
1,images_0001.bin,0005.jpg,1920,1080,38.96,0.4,0,72
2,images_0002.bin,0008.jpg,1280,768,77.57,0.6,0,57
3,images_0003.bin,0011.jpg,1431,1547,84.96,0.3723,117,0
4,images_0004.bin,0028.jpg,640,384,162.01,1.2,0,57
5,images_0005.bin,0049.jpg,640,384,27.48,1.2,0,57
6,images_0006.bin,0056.jpg,640,384,30.68,1.2,0,57
7,images_0007.bin,0086.jpg,640,384,61.31,1.2,0,57
8,images_0008.bin,0097.jpg,568,712,92.58,0.809,154,0
9,images_0009.bin,0107.jpg,640,384,24.52,1.2,0,57
10,images_0010.bin,0120.jpg,640,384,44.29,1.2,0,57
11,images_0011.bin,0142.jpg,1280,768,78.64,0.6,0,57
12,images_0012.bin,0177.jpg,1969,1963,61.27,0.2934,95,0
13,images_0013.bin,0188.jpg,640,384,87.42,1.2,0,57
14,images_0014.bin,0198.jpg,640,384,46.34,1.2,0,57
15,images_0015.bin,0229.jpg,1170,1004,71.99,0.5737,48,0
16,images_0016.bin,0234.jpg,1920,1080,39.26,0.4,0,72
17,images_0017.bin,0237.jpg,640,384,5.75,1.2,0,57
18,images_0018.bin,0273.jpg,640,384,58.83,1.2,0,57
19,images_0019.bin,0274.jpg,720,432,19.13,1.0667,0,57
20,images_0020.bin,0285.jpg,640,384,45.88,1.2,0,57
21,images_0021.bin,0313.jpg,640,480,43.14,1.2,0,0
22,images_0022.bin,0330.jpg,1920,1080,68.1,0.4,0,72
23,images_0023.bin,0351.jpg,537,674,92.59,0.8546,154,0
24,images_0024.bin,0371.jpg,1280,768,45.68,0.6,0,57
25,images_0025.bin,0392.jpg,1578,1571,70.82,0.3666,94,0
26,images_0026.bin,0395.jpg,640,384,6.0,1.2,0,57
27,images_0027.bin,0410.jpg,1920,1080,28.65,0.4,0,72
28,images_0028.bin,0435.jpg,1920,1080,72.97,0.4,0,72
29,images_0029.bin,0437.jpg,640,384,47.27,1.2,0,57
30,images_0030.bin,0473.jpg,640,384,42.18,1.2,0,57
31,images_0031.bin,0490.jpg,2000,1738,56.24,0.3314,52,0
32,images_0032.bin,0502.jpg,1183,1124,124.02,0.5125,81,0
33,images_0033.bin,0514.jpg,640,480,10.16,1.2,0,0
34,images_0034.bin,0522.jpg,1057,1116,96.06,0.5161,111,0
35,images_0035.bin,0549.jpg,640,384,68.16,1.2,0,57
36,images_0036.bin,0561.jpg,640,384,188.8,1.2,0,57
37,images_0037.bin,0568.jpg,1920,1080,36.86,0.4,0,72
38,images_0038.bin,0611.jpg,1280,768,71.86,0.6,0,57
39,images_0039.bin,0630.jpg,640,384,80.04,1.2,0,57
40,images_0040.bin,0640.jpg,640,384,44.72,1.2,0,57
41,images_0041.bin,0653.jpg,640,384,57.02,1.2,0,57
42,images_0042.bin,0679.jpg,640,384,23.32,1.2,0,57
43,images_0043.bin,0694.jpg,1920,1080,76.76,0.4,0,72
44,images_0044.bin,0717.jpg,1920,1080,48.89,0.4,0,72
45,images_0045.bin,0749.jpg,720,432,56.74,1.0667,0,57
46,images_0046.bin,0750.jpg,2000,1773,107.78,0.3249,59,0
47,images_0047.bin,0769.jpg,640,384,6.3,1.2,0,57
48,images_0048.bin,0772.jpg,640,384,28.94,1.2,0,57
49,images_0049.bin,0783.jpg,640,384,36.06,1.2,0,57
50,images_0050.bin,0813.jpg,640,384,83.27,1.2,0,57
51,images_0051.bin,0815.jpg,1280,768,63.77,0.6,0,57
52,images_0052.bin,0842.jpg,640,480,17.64,1.2,0,0
