index,bin,src_image,variant,min,max
0,input_0000.bin,0000.jpg,full,0,124
1,input_0001.bin,0000.jpg,crop,0,114
2,input_0002.bin,0001.jpg,full,3,114
3,input_0003.bin,0001.jpg,crop,114,114
4,input_0004.bin,0002.jpg,full,4,252
5,input_0005.bin,0002.jpg,crop,12,215
6,input_0006.bin,0003.jpg,full,0,250
7,input_0007.bin,0003.jpg,crop,4,249
8,input_0008.bin,0004.jpg,full,37,255
9,input_0009.bin,0004.jpg,crop,114,255
10,input_0010.bin,0005.jpg,full,5,205
11,input_0011.bin,0005.jpg,crop,11,253
12,input_0012.bin,0006.jpg,full,0,201
13,input_0013.bin,0006.jpg,crop,0,252
14,input_0014.bin,0007.jpg,full,6,164
15,input_0015.bin,0007.jpg,crop,8,225
16,input_0016.bin,0008.jpg,full,5,255
17,input_0017.bin,0008.jpg,crop,8,255
18,input_0018.bin,0009.jpg,full,0,128
19,input_0019.bin,0009.jpg,crop,2,131
20,input_0020.bin,0010.jpg,full,0,143
21,input_0021.bin,0010.jpg,crop,64,114
22,input_0022.bin,0011.jpg,full,7,143
23,input_0023.bin,0011.jpg,crop,42,124
24,input_0024.bin,0012.jpg,full,12,233
25,input_0025.bin,0012.jpg,crop,16,202
26,input_0026.bin,0013.jpg,full,0,198
27,input_0027.bin,0013.jpg,crop,9,223
28,input_0028.bin,0014.jpg,full,0,180
29,input_0029.bin,0014.jpg,crop,1,189
30,input_0030.bin,0015.jpg,full,1,209
31,input_0031.bin,0015.jpg,crop,0,203
32,input_0032.bin,0016.jpg,full,0,114
33,input_0033.bin,0016.jpg,crop,72,85
34,input_0034.bin,0017.jpg,full,0,114
35,input_0035.bin,0017.jpg,crop,0,224
36,input_0036.bin,0018.jpg,full,6,206
37,input_0037.bin,0018.jpg,crop,4,250
38,input_0038.bin,0019.jpg,full,0,114
39,input_0039.bin,0019.jpg,crop,0,42
40,input_0040.bin,0020.jpg,full,1,114
41,input_0041.bin,0020.jpg,crop,0,84
42,input_0042.bin,0021.jpg,full,6,228
43,input_0043.bin,0021.jpg,crop,4,148
44,input_0044.bin,0022.jpg,full,4,171
45,input_0045.bin,0022.jpg,crop,114,190
46,input_0046.bin,0023.jpg,full,13,255
47,input_0047.bin,0023.jpg,crop,11,211
48,input_0048.bin,0024.jpg,full,4,247
49,input_0049.bin,0024.jpg,crop,20,114
50,input_0050.bin,0025.jpg,full,3,254
51,input_0051.bin,0025.jpg,crop,1,229
52,input_0052.bin,0026.jpg,full,0,184
53,input_0053.bin,0026.jpg,crop,0,114
54,input_0054.bin,0027.jpg,full,4,114
55,input_0055.bin,0027.jpg,crop,12,114
56,input_0056.bin,0028.jpg,full,15,182
57,input_0057.bin,0028.jpg,crop,48,166
58,input_0058.bin,0029.jpg,full,2,114
59,input_0059.bin,0029.jpg,crop,4,114
60,input_0060.bin,0030.jpg,full,0,114
61,input_0061.bin,0030.jpg,crop,0,114
62,input_0062.bin,0031.jpg,full,4,235
63,input_0063.bin,0031.jpg,crop,4,182
64,input_0064.bin,0032.jpg,full,13,248
65,input_0065.bin,0032.jpg,crop,28,235
66,input_0066.bin,0033.jpg,full,0,122
67,input_0067.bin,0033.jpg,crop,5,114
68,input_0068.bin,0034.jpg,full,20,252
69,input_0069.bin,0034.jpg,crop,19,238
70,input_0070.bin,0035.jpg,full,0,179
71,input_0071.bin,0035.jpg,crop,104,161
72,input_0072.bin,0036.jpg,full,26,255
73,input_0073.bin,0036.jpg,crop,114,255
74,input_0074.bin,0037.jpg,full,0,114
75,input_0075.bin,0037.jpg,crop,4,73
76,input_0076.bin,0038.jpg,full,8,252
77,input_0077.bin,0038.jpg,crop,8,186
78,input_0078.bin,0039.jpg,full,2,254
79,input_0079.bin,0039.jpg,crop,0,216
80,input_0080.bin,0040.jpg,full,0,114
81,input_0081.bin,0040.jpg,crop,0,66
82,input_0082.bin,0041.jpg,full,0,184
83,input_0083.bin,0041.jpg,crop,3,158
84,input_0084.bin,0042.jpg,full,0,126
85,input_0085.bin,0042.jpg,crop,0,92
86,input_0086.bin,0043.jpg,full,4,208
87,input_0087.bin,0043.jpg,crop,11,237
88,input_0088.bin,0044.jpg,full,8,187
89,input_0089.bin,0044.jpg,crop,11,180
90,input_0090.bin,0045.jpg,full,4,160
91,input_0091.bin,0045.jpg,crop,7,148
92,input_0092.bin,0046.jpg,full,19,235
93,input_0093.bin,0046.jpg,crop,78,244
94,input_0094.bin,0047.jpg,full,0,174
95,input_0095.bin,0047.jpg,crop,0,140
96,input_0096.bin,0048.jpg,full,0,125
97,input_0097.bin,0048.jpg,crop,114,114
98,input_0098.bin,0049.jpg,full,0,114
99,input_0099.bin,0049.jpg,crop,1,117
100,input_0100.bin,0050.jpg,full,4,199
101,input_0101.bin,0050.jpg,crop,0,254
102,input_0102.bin,0051.jpg,full,6,214
103,input_0103.bin,0051.jpg,crop,8,224
104,input_0104.bin,0052.jpg,full,0,114
105,input_0105.bin,0052.jpg,crop,25,114
106,input_0106.bin,0053.jpg,full,4,238
107,input_0107.bin,0053.jpg,crop,2,204
108,input_0108.bin,0054.jpg,full,38,255
109,input_0109.bin,0054.jpg,crop,47,133
110,input_0110.bin,0055.jpg,full,0,226
111,input_0111.bin,0055.jpg,crop,0,240
112,input_0112.bin,0056.jpg,full,0,160
113,input_0113.bin,0056.jpg,crop,0,153
114,input_0114.bin,0057.jpg,full,2,183
115,input_0115.bin,0057.jpg,crop,1,241
116,input_0116.bin,0058.jpg,full,0,197
117,input_0117.bin,0058.jpg,crop,0,197
118,input_0118.bin,0059.jpg,full,1,208
119,input_0119.bin,0059.jpg,crop,0,250
120,input_0120.bin,0060.jpg,full,4,204
121,input_0121.bin,0060.jpg,crop,3,163
122,input_0122.bin,0061.jpg,full,12,218
123,input_0123.bin,0061.jpg,crop,8,67
124,input_0124.bin,0062.jpg,full,0,223
125,input_0125.bin,0062.jpg,crop,0,222
126,input_0126.bin,0063.jpg,full,4,194
127,input_0127.bin,0063.jpg,crop,4,215
128,input_0128.bin,0064.jpg,full,11,231
129,input_0129.bin,0064.jpg,crop,20,237
130,input_0130.bin,0065.jpg,full,0,114
131,input_0131.bin,0065.jpg,crop,1,104
132,input_0132.bin,0066.jpg,full,4,163
133,input_0133.bin,0066.jpg,crop,4,250
134,input_0134.bin,0067.jpg,full,0,214
135,input_0135.bin,0067.jpg,crop,0,250
136,input_0136.bin,0068.jpg,full,0,172
137,input_0137.bin,0068.jpg,crop,0,248
138,input_0138.bin,0069.jpg,full,36,114
139,input_0139.bin,0069.jpg,crop,38,141
140,input_0140.bin,0070.jpg,full,4,213
141,input_0141.bin,0070.jpg,crop,4,181
142,input_0142.bin,0071.jpg,full,0,252
143,input_0143.bin,0071.jpg,crop,0,253
144,input_0144.bin,0072.jpg,full,2,192
145,input_0145.bin,0072.jpg,crop,5,212
146,input_0146.bin,0073.jpg,full,2,124
147,input_0147.bin,0073.jpg,crop,8,114
148,input_0148.bin,0074.jpg,full,16,255
149,input_0149.bin,0074.jpg,crop,28,92
150,input_0150.bin,0075.jpg,full,4,254
151,input_0151.bin,0075.jpg,crop,4,250
152,input_0152.bin,0076.jpg,full,0,114
153,input_0153.bin,0076.jpg,crop,65,116
154,input_0154.bin,0077.jpg,full,3,209
155,input_0155.bin,0077.jpg,crop,5,210
156,input_0156.bin,0078.jpg,full,0,179
157,input_0157.bin,0078.jpg,crop,1,114
158,input_0158.bin,0079.jpg,full,4,171
159,input_0159.bin,0079.jpg,crop,4,249
160,input_0160.bin,0080.jpg,full,4,204
161,input_0161.bin,0080.jpg,crop,114,195
162,input_0162.bin,0081.jpg,full,0,116
163,input_0163.bin,0081.jpg,crop,0,104
164,input_0164.bin,0082.jpg,full,0,121
165,input_0165.bin,0082.jpg,crop,86,114
166,input_0166.bin,0083.jpg,full,2,209
167,input_0167.bin,0083.jpg,crop,0,247
168,input_0168.bin,0084.jpg,full,0,247
169,input_0169.bin,0084.jpg,crop,0,127
170,input_0170.bin,0085.jpg,full,10,226
171,input_0171.bin,0085.jpg,crop,9,248
172,input_0172.bin,0086.jpg,full,4,226
173,input_0173.bin,0086.jpg,crop,4,185
174,input_0174.bin,0087.jpg,full,0,114
175,input_0175.bin,0087.jpg,crop,68,114
176,input_0176.bin,0088.jpg,full,4,254
177,input_0177.bin,0088.jpg,crop,4,247
178,input_0178.bin,0089.jpg,full,0,181
179,input_0179.bin,0089.jpg,crop,0,167
180,input_0180.bin,0090.jpg,full,1,229
181,input_0181.bin,0090.jpg,crop,4,114
182,input_0182.bin,0091.jpg,full,2,252
183,input_0183.bin,0091.jpg,crop,3,255
184,input_0184.bin,0092.jpg,full,0,173
185,input_0185.bin,0092.jpg,crop,3,253
186,input_0186.bin,0093.jpg,full,8,246
187,input_0187.bin,0093.jpg,crop,15,255
188,input_0188.bin,0094.jpg,full,8,249
189,input_0189.bin,0094.jpg,crop,8,86
190,input_0190.bin,0095.jpg,full,3,255
191,input_0191.bin,0095.jpg,crop,2,174
192,input_0192.bin,0096.jpg,full,0,114
193,input_0193.bin,0096.jpg,crop,0,217
194,input_0194.bin,0097.jpg,full,2,255
195,input_0195.bin,0097.jpg,crop,10,255
196,input_0196.bin,0098.jpg,full,0,177
197,input_0197.bin,0098.jpg,crop,0,230
