index,bin,src_image,orig_w,orig_h,brightness,scale,pad_l,pad_t
0,image_0000.bin,0002.jpg,640,384,13.82,1.0,0,0
1,image_0001.bin,0005.jpg,1920,1080,38.96,0.3333,0,0
2,image_0002.bin,0008.jpg,1280,768,77.57,0.5,0,0
3,image_0003.bin,0011.jpg,1431,1547,84.96,0.4472,0,0
4,image_0004.bin,0028.jpg,640,384,162.01,1.0,0,0
5,image_0005.bin,0049.jpg,640,384,27.48,1.0,0,0
6,image_0006.bin,0056.jpg,640,384,30.68,1.0,0,0
7,image_0007.bin,0086.jpg,640,384,61.31,1.0,0,0
8,image_0008.bin,0097.jpg,568,712,92.58,1.1268,0,0
9,image_0009.bin,0107.jpg,640,384,24.52,1.0,0,0
10,image_0010.bin,0120.jpg,640,384,44.29,1.0,0,0
11,image_0011.bin,0142.jpg,1280,768,78.64,0.5,0,0
12,image_0012.bin,0177.jpg,1969,1963,61.27,0.325,0,0
13,image_0013.bin,0188.jpg,640,384,87.42,1.0,0,0
14,image_0014.bin,0198.jpg,640,384,46.34,1.0,0,0
15,image_0015.bin,0229.jpg,1170,1004,71.99,0.547,0,0
16,image_0016.bin,0234.jpg,1920,1080,39.26,0.3333,0,0
17,image_0017.bin,0237.jpg,640,384,5.75,1.0,0,0
18,image_0018.bin,0273.jpg,640,384,58.83,1.0,0,0
19,image_0019.bin,0274.jpg,720,432,19.13,0.8889,0,0
20,image_0020.bin,0285.jpg,640,384,45.88,1.0,0,0
21,image_0021.bin,0313.jpg,640,480,43.14,1.0,0,0
22,image_0022.bin,0330.jpg,1920,1080,68.1,0.3333,0,0
23,image_0023.bin,0351.jpg,537,674,92.59,1.1918,0,0
24,image_0024.bin,0371.jpg,1280,768,45.68,0.5,0,0
25,image_0025.bin,0392.jpg,1578,1571,70.82,0.4056,0,0
26,image_0026.bin,0395.jpg,640,384,6.0,1.0,0,0
27,image_0027.bin,0410.jpg,1920,1080,28.65,0.3333,0,0
28,image_0028.bin,0435.jpg,1920,1080,72.97,0.3333,0,0
29,image_0029.bin,0437.jpg,640,384,47.27,1.0,0,0
30,image_0030.bin,0473.jpg,640,384,42.18,1.0,0,0
31,image_0031.bin,0490.jpg,2000,1738,56.24,0.32,0,0
32,image_0032.bin,0502.jpg,1183,1124,124.02,0.541,0,0
33,image_0033.bin,0514.jpg,640,480,10.16,1.0,0,0
