frame,n_cand@0.1,max_conf,top1_conf,top1_pts,top1_tag,top1_color,top1_size
890,10,0.9247,0.9247,"(380,262);(379,271);(402,263);(400,273)",4,1,0
705,11,0.9222,0.9222,"(353,197);(351,206);(375,198);(374,208)",4,1,0
1160,10,0.9186,0.9186,"(263,228);(262,238);(286,230);(285,240)",4,1,0
1035,11,0.9181,0.9181,"(266,260);(265,270);(288,260);(286,271)",4,1,0
1345,10,0.9176,0.9176,"(412,199);(410,208);(433,201);(431,211)",4,1,0
565,9,0.9149,0.9149,"(301,245);(299,255);(324,246);(322,257)",4,1,0
950,10,0.914,0.914,"(277,163);(276,173);(300,164);(299,174)",4,1,0
1145,10,0.9127,0.9127,"(239,268);(238,277);(261,269);(260,279)",4,1,0
340,11,0.9123,0.9123,"(461,194);(459,204);(485,195);(483,206)",4,1,0
620,10,0.9123,0.9123,"(207,199);(206,209);(230,200);(228,210)",4,1,0
1570,10,0.9122,0.9122,"(309,279);(308,289);(331,280);(330,290)",4,1,0
975,11,0.9098,0.9098,"(395,211);(393,221);(416,213);(415,223)",4,1,0
1075,10,0.9097,0.9097,"(365,213);(364,222);(386,214);(385,224)",4,1,0
765,9,0.9087,0.9087,"(340,294);(338,303);(362,295);(361,305)",4,1,0
875,10,0.9087,0.9087,"(367,203);(366,213);(390,205);(389,215)",4,1,0
180,10,0.9081,0.9081,"(417,256);(415,266);(440,258);(438,269)",4,1,0
1445,10,0.9075,0.9075,"(462,261);(461,270);(484,263);(483,273)",4,1,0
480,10,0.9072,0.9072,"(335,187);(334,196);(358,188);(357,198)",4,1,0
960,10,0.9064,0.9064,"(295,168);(293,177);(318,169);(317,179)",4,1,0
1330,10,0.9059,0.9059,"(385,203);(383,213);(407,205);(405,215)",4,1,0
140,10,0.9045,0.9045,"(250,263);(249,272);(273,264);(271,274)",4,1,0
125,10,0.9038,0.9038,"(248,291);(247,301);(271,293);(270,303)",4,1,0
1005,10,0.9035,0.9035,"(353,290);(352,299);(375,291);(374,301)",4,1,0
1415,10,0.9034,0.9034,"(233,259);(232,268);(255,259);(254,270)",4,1,0
920,10,0.9033,0.9033,"(287,268);(285,278);(309,269);(308,279)",4,1,0
1470,10,0.9031,0.9031,"(481,214);(479,224);(504,215);(503,226)",4,1,0
550,10,0.903,0.903,"(303,201);(302,212);(326,202);(324,214)",4,1,0
295,10,0.9024,0.9024,"(340,204);(339,215);(363,206);(362,217)",4,1,0
610,10,0.9022,0.9022,"(192,225);(191,235);(215,226);(214,237)",4,1,0
1275,10,0.9019,0.9019,"(175,287);(174,297);(198,288);(197,299)",4,1,0
1360,10,0.9013,0.9013,"(416,145);(414,156);(438,148);(436,159)",4,1,0
380,11,0.9003,0.9003,"(366,255);(365,265);(389,257);(388,267)",4,1,0
905,10,0.8981,0.8981,"(351,275);(349,284);(373,276);(372,286)",4,1,0
195,10,0.8978,0.8978,"(367,255);(366,265);(390,257);(388,267)",4,1,0
450,10,0.8976,0.8976,"(264,213);(263,223);(287,214);(286,225)",4,1,0
580,10,0.8976,0.8976,"(294,246);(292,255);(317,247);(315,257)",4,1,0
525,10,0.8972,0.8972,"(432,190);(430,200);(455,192);(453,203)",4,1,0
850,9,0.8968,0.8968,"(254,169);(253,179);(277,170);(275,181)",4,1,0
1630,10,0.8968,0.8968,"(351,256);(349,266);(372,258);(371,268)",4,1,0
85,11,0.8962,0.8962,"(249,330);(248,341);(273,332);(271,343)",4,1,0
1500,11,0.8961,0.8961,"(488,137);(486,148);(512,139);(510,151)",4,1,0
1485,10,0.8958,0.8958,"(487,156);(485,167);(511,158);(509,170)",4,1,0
0,11,0.8945,0.8945,"(250,332);(248,342);(273,332);(272,343)",4,1,0
1515,12,0.8945,0.8945,"(489,216);(486,228);(512,217);(509,231)",4,1,0
95,11,0.8944,0.8944,"(249,330);(248,340);(273,331);(271,342)",4,1,0
720,10,0.8942,0.8942,"(273,215);(271,224);(295,216);(294,226)",4,1,0
350,11,0.8935,0.8935,"(380,256);(378,266);(402,258);(400,269)",4,1,0
10,11,0.8934,0.8934,"(250,332);(248,342);(273,332);(272,343)",4,1,0
1045,11,0.8923,0.8923,"(266,217);(264,227);(288,218);(287,229)",4,1,0
805,10,0.8915,0.8915,"(319,155);(318,165);(342,157);(341,167)",4,1,0
110,10,0.8914,0.8914,"(249,326);(248,336);(272,327);(271,338)",4,1,0
1090,10,0.8911,0.8911,"(375,250);(374,260);(398,251);(397,263)",4,1,0
835,11,0.8905,0.8905,"(192,154);(191,164);(215,156);(214,166)",4,1,0
1190,11,0.8902,0.8902,"(402,217);(400,227);(424,219);(422,229)",4,1,0
1655,10,0.8898,0.8898,"(348,256);(347,266);(370,257);(368,268)",4,1,0
1585,10,0.8888,0.8888,"(352,253);(351,263);(374,254);(372,265)",4,1,0
1105,9,0.8881,0.8881,"(353,300);(352,310);(375,301);(373,312)",4,1,0
55,11,0.888,0.888,"(249,331);(248,342);(273,332);(272,343)",4,1,0
1555,10,0.8878,0.8878,"(308,286);(307,296);(330,287);(329,298)",4,1,0
695,10,0.8876,0.8876,"(377,187);(375,197);(400,188);(398,199)",4,1,0
1685,11,0.8876,0.8876,"(348,256);(347,266);(369,258);(368,268)",4,1,0
1315,10,0.8872,0.8872,"(359,240);(357,250);(382,242);(380,253)",4,1,0
70,10,0.8871,0.8871,"(249,331);(248,342);(273,332);(272,343)",4,1,0
1670,10,0.887,0.887,"(348,256);(347,266);(370,257);(368,268)",4,1,0
25,11,0.8867,0.8867,"(250,332);(248,342);(273,332);(272,343)",4,1,0
1205,11,0.8861,0.8861,"(427,241);(425,251);(449,243);(447,254)",4,1,0
1060,10,0.886,0.886,"(280,210);(279,219);(302,212);(301,222)",4,1,0
40,11,0.8857,0.8857,"(250,331);(248,342);(273,332);(272,343)",4,1,0
1640,11,0.8857,0.8857,"(348,256);(347,266);(370,258);(368,268)",4,1,0
365,10,0.8854,0.8854,"(378,256);(377,266);(401,258);(399,268)",4,1,0
1400,12,0.8852,0.8852,"(237,185);(235,195);(259,186);(257,197)",4,1,0
790,10,0.8851,0.8851,"(338,185);(337,195);(360,187);(359,197)",4,1,0
465,9,0.8847,0.8847,"(292,191);(291,201);(315,193);(314,203)",4,1,0
1290,9,0.8847,0.8847,"(194,282);(192,292);(215,283);(214,293)",4,1,0
310,11,0.884,0.884,"(341,186);(339,195);(364,187);(363,198)",4,1,0
170,10,0.8838,0.8838,"(426,256);(424,266);(449,259);(447,270)",4,1,0
1375,11,0.8835,0.8835,"(397,138);(396,148);(420,140);(418,150)",4,1,0
1130,10,0.8828,0.8828,"(229,300);(227,310);(251,301);(250,311)",4,1,0
1260,10,0.8827,0.8827,"(255,287);(254,297);(276,288);(275,298)",4,1,0
425,10,0.8825,0.8825,"(263,241);(261,251);(285,242);(284,253)",4,1,0
510,10,0.8825,0.8825,"(442,188);(441,198);(465,190);(463,200)",4,1,0
395,10,0.8822,0.8822,"(305,255);(304,265);(328,256);(326,267)",4,1,0
1230,10,0.8818,0.8818,"(418,287);(416,296);(440,288);(438,298)",4,1,0
1175,10,0.8816,0.8816,"(335,214);(334,223);(358,215);(357,225)",4,1,0
